title,title_type,genre,runtime,mpaa_rating,studio,thtr_rel_date,thtr_rel_year,thtr_rel_month,thtr_rel_day,dvd_rel_date,dvd_rel_year,dvd_rel_month,dvd_rel_day,imdb_rating,imdb_num_votes,critics_rating,critics_score,audience_rating,audience_score,best_pic_nom,best_pic_win,best_actor_win,best_actress_win,best_dir_win,top200_box,director
Filly Brown,Feature Film,Drama,80,R,Indomina Media Inc.,2013-04-19T04:00:00Z,2013,4,19,2013-07-30T04:00:00Z,2013,7,30,5.5,899,Rotten,45,Upright,73,no,no,no,no,no,no,Michael D. Olmos
The Dish,Feature Film,Drama,101,PG-13,Warner Bros. Pictures,2001-03-14T05:00:00Z,2001,3,14,2001-08-28T04:00:00Z,2001,8,28,7.3,12285,Certified Fresh,96,Upright,81,no,no,no,no,no,no,Rob Sitch
Waiting for Guffman,Feature Film,Comedy,84,R,Sony Pictures Classics,1996-08-21T04:00:00Z,1996,8,21,2001-08-21T04:00:00Z,2001,8,21,7.6,22381,Certified Fresh,91,Upright,91,no,no,no,no,no,no,Christopher Guest
The Age of Innocence,Feature Film,Drama,139,PG,Columbia Pictures,1993-10-01T04:00:00Z,1993,10,1,2001-11-06T05:00:00Z,2001,11,6,7.2,35096,Certified Fresh,80,Upright,76,no,no,yes,no,yes,no,Martin Scorsese
Malevolence,Feature Film,Horror,90,R,Anchor Bay Entertainment,2004-09-10T04:00:00Z,2004,9,10,2005-04-19T04:00:00Z,2005,4,19,5.1,2386,Rotten,33,Spilled,27,no,no,no,no,no,no,Stevan Mena
Old Partner,Documentary,Documentary,78,Unrated,Shcalo Media Group,2009-01-15T05:00:00Z,2009,1,15,2010-04-20T04:00:00Z,2010,4,20,7.8,333,Fresh,91,Upright,86,no,no,no,no,no,no,Chung-ryoul Lee
Lady Jane,Feature Film,Drama,142,PG-13,Paramount Home Video,1986-01-01T05:00:00Z,1986,1,1,2003-02-18T05:00:00Z,2003,2,18,7.2,5016,Rotten,57,Upright,76,no,no,no,no,no,no,Trevor Nunn
Mad Dog Time,Feature Film,Drama,93,R,MGM/United Artists,1996-11-08T05:00:00Z,1996,11,8,2004-03-02T05:00:00Z,2004,3,2,5.5,2272,Rotten,17,Spilled,47,no,no,yes,no,no,no,Larry Bishop
Beauty Is Embarrassing,Documentary,Documentary,88,Unrated,Independent Pictures,2012-09-07T04:00:00Z,2012,9,7,2013-01-21T05:00:00Z,2013,1,21,7.5,880,Fresh,90,Upright,89,no,no,no,no,no,no,Neil Berkeley
The Snowtown Murders,Feature Film,Drama,119,Unrated,IFC Films,2012-03-02T05:00:00Z,2012,3,2,2012-08-14T04:00:00Z,2012,8,14,6.6,12496,Certified Fresh,83,Upright,66,no,no,no,no,no,no,Justin Kurzel
Superman II,Feature Film,Action & Adventure,127,PG,Warner Bros. Pictures,1981-06-19T04:00:00Z,1981,6,19,2001-05-01T04:00:00Z,2001,5,1,6.8,71979,Certified Fresh,89,Upright,75,no,no,yes,no,no,yes,Richard Lester
Leap of Faith,Feature Film,Drama,108,PG-13,Paramount Home Video,1992-12-18T05:00:00Z,1992,12,18,2003-09-23T04:00:00Z,2003,9,23,6,9669,Fresh,67,Spilled,46,no,no,no,no,no,no,Richard Pearce
The Royal Tenenbaums,Feature Film,Comedy,110,R,Buena Vista Distribution Compa,2002-01-04T05:00:00Z,2002,1,4,2002-07-09T04:00:00Z,2002,7,9,7.6,201779,Certified Fresh,80,Upright,89,no,no,yes,yes,no,no,Wes Anderson
School for Scoundrels,Feature Film,Comedy,100,PG-13,MGM,2006-09-23T04:00:00Z,2006,9,23,2007-02-13T05:00:00Z,2007,2,13,5.9,25808,Rotten,25,Spilled,53,no,no,no,no,no,no,Todd Phillips
Rhinestone,Feature Film,Comedy,111,PG,20th Century Fox,1984-06-20T04:00:00Z,1984,6,20,2005-03-22T05:00:00Z,2005,3,22,3.6,5544,Rotten,15,Spilled,36,no,no,no,no,no,no,Bob Clark (III)
Burn After Reading,Feature Film,Drama,96,R,Focus Features,2008-08-27T04:00:00Z,2008,8,27,2008-12-21T05:00:00Z,2008,12,21,7,240033,Certified Fresh,78,Upright,64,no,no,no,yes,yes,no,Joel Coen
The Doors,Feature Film,Drama,140,R,Sony Pictures Home Entertainment,1991-03-01T05:00:00Z,1991,3,1,1997-08-19T04:00:00Z,1997,8,19,7.2,66489,Rotten,54,Upright,80,no,no,no,no,yes,no,Oliver Stone
The Wood,Feature Film,Drama,106,R,Paramount Pictures,1999-07-16T04:00:00Z,1999,7,16,2000-01-18T05:00:00Z,2e3,1,18,6.9,6336,Fresh,61,Upright,92,no,no,no,no,no,no,Rick Famuyiwa
Jason X,Feature Film,Horror,91,R,New Line Cinema,2002-04-26T04:00:00Z,2002,4,26,2004-06-01T04:00:00Z,2004,6,1,4.4,37769,Rotten,19,Spilled,24,no,no,no,no,no,no,James Isaac
Dragon Wars,Feature Film,Drama,90,PG-13,Sony Pictures Home Entertainment,2007-09-13T04:00:00Z,2007,9,13,2008-01-08T05:00:00Z,2008,1,8,3.6,21268,Rotten,29,Spilled,19,no,no,no,no,no,no,Hyung-rae Shim
Fallen,Feature Film,Drama,124,R,Warner Home Video,1997-06-01T04:00:00Z,1997,6,1,1998-06-16T04:00:00Z,1998,6,16,7,56201,Rotten,40,Upright,73,no,no,yes,no,no,no,Gregory Hoblit
The Gleaners and I,Documentary,Documentary,82,Unrated,Zeitgeist Films,2001-04-06T04:00:00Z,2001,4,6,2002-07-23T04:00:00Z,2002,7,23,7.6,3459,Fresh,92,Upright,86,no,no,no,no,no,no,Agnes Varda
Tamara Drewe,Feature Film,Drama,107,R,Sony Pictures Classics,2010-10-08T04:00:00Z,2010,10,8,2011-02-08T05:00:00Z,2011,2,8,6.2,16717,Fresh,66,Spilled,42,no,no,no,no,no,no,Stephen Frears
Not Without My Daughter,Feature Film,Drama,116,PG-13,MGM Home Entertainment,1991-01-11T05:00:00Z,1991,1,11,2001-10-02T04:00:00Z,2001,10,2,6.2,9357,Rotten,47,Upright,71,no,no,no,yes,no,no,Brian Gilbert
The Yes Men Fix the World,Documentary,Documentary,87,Unrated,Cinetic Media,2009-01-18T05:00:00Z,2009,1,18,2010-04-01T04:00:00Z,2010,4,1,7.6,4541,Certified Fresh,79,Upright,77,no,no,no,no,no,no,Andy Bichlbaum
"Oh, God! You Devil",Feature Film,Comedy,97,PG,WARNER BROTHERS PICTURES,1984-11-09T05:00:00Z,1984,11,9,2005-02-15T05:00:00Z,2005,2,15,5.3,1816,Rotten,40,Spilled,41,no,no,no,no,no,no,Paul Bogart
Meet Joe Black,Feature Film,Drama,178,PG-13,Universal Pictures,1998-11-13T05:00:00Z,1998,11,13,1999-04-06T04:00:00Z,1999,4,6,7.1,163490,Rotten,51,Upright,81,no,no,yes,no,no,no,Martin Brest
The Bay,Feature Film,Horror,84,R,Roadside Attraction,2012-11-02T04:00:00Z,2012,11,2,2013-03-05T05:00:00Z,2013,3,5,5.6,19285,Certified Fresh,77,Spilled,43,no,no,no,no,yes,no,Barry Levinson
Scandal,Feature Film,Art House & International,115,R,HBO Video,1989-05-28T04:00:00Z,1989,5,28,2000-09-05T04:00:00Z,2e3,9,5,6.4,3688,Fresh,91,Upright,61,no,no,no,no,no,no,Michael Caton-Jones
Imagine: John Lennon,Documentary,Musical & Performing Arts,100,R,WARNER BROTHERS PICTURES,1988-10-07T04:00:00Z,1988,10,7,2005-12-06T05:00:00Z,2005,12,6,7.9,3488,Fresh,92,Upright,91,no,no,no,no,no,no,Andrew Solt
Locke,Feature Film,Mystery & Suspense,85,R,A24 Films,2014-04-25T04:00:00Z,2014,4,25,2014-08-12T04:00:00Z,2014,8,12,7.1,82851,Certified Fresh,91,Upright,71,no,no,no,no,no,no,Steven Knight
The Spongebob Squarepants Movie,Feature Film,Animation,87,PG,Paramount Pictures,2004-11-19T05:00:00Z,2004,11,19,2005-03-01T05:00:00Z,2005,3,1,7,56128,Fresh,68,Upright,77,no,no,no,no,no,no,Sherm Cohen
